Establishing 100 WCF channels
4/30/2018 8:45:01 PM count=1229588 tasks=1024
4/30/2018 8:45:02 PM count=1291298 tasks=1024
4/30/2018 8:45:03 PM count=1351746 tasks=1024
4/30/2018 8:45:04 PM count=1414080 tasks=1018
4/30/2018 8:45:05 PM count=1475276 tasks=922
4/30/2018 8:45:06 PM count=1535503 tasks=948
4/30/2018 8:45:07 PM count=1596541 tasks=1010
4/30/2018 8:45:08 PM count=1656879 tasks=980
4/30/2018 8:45:09 PM count=1718397 tasks=1024
4/30/2018 8:45:10 PM count=1780143 tasks=1016
4/30/2018 8:45:11 PM count=1842048 tasks=1016
4/30/2018 8:45:12 PM count=1903656 tasks=1024
4/30/2018 8:45:13 PM count=1964207 tasks=903
4/30/2018 8:45:14 PM count=2027110 tasks=947
4/30/2018 8:45:15 PM count=2088655 tasks=990
4/30/2018 8:45:16 PM count=2150701 tasks=1024
4/30/2018 8:45:17 PM count=2213290 tasks=1024
4/30/2018 8:45:18 PM count=2274577 tasks=1003
4/30/2018 8:45:19 PM count=2335851 tasks=993
4/30/2018 8:45:20 PM count=2397652 tasks=1024
4/30/2018 8:45:21 PM count=2459237 tasks=923
4/30/2018 8:45:22 PM count=2521259 tasks=954
4/30/2018 8:45:23 PM count=2581554 tasks=914
4/30/2018 8:45:24 PM count=2643072 tasks=1024
4/30/2018 8:45:25 PM count=2698234 tasks=1024
4/30/2018 8:45:26 PM count=2756155 tasks=909
4/30/2018 8:45:27 PM count=2813508 tasks=1024
4/30/2018 8:45:28 PM count=2874062 tasks=996
4/30/2018 8:45:29 PM count=2934911 tasks=1024
4/30/2018 8:45:30 PM count=2995401 tasks=1024
Waiting for all tasks to be completed...
Duration=00:00:49.0975459 Count=2996426 Rate=61030.0564941271. Min=0.0093 Max=20.4888 Avg=5.72267057744793
